"composerName","workTitle"
"Beethoven,  Ludwig  van","SYMPHONY NO. 5 IN C MINOR, OP.67"
"Weber,  Carl  Maria Von","OBERON"
"Hummel,  Johann","QUINTET, PIANO, D MINOR, OP. 74"
"Rossini,  Gioachino","ARMIDA"
"Beethoven,  Ludwig  van","FIDELIO, OP. 72"
"Mozart,  Wolfgang  Amadeus","ABDUCTION FROM THE SERAGLIO,THE, K.384"
"Kalliwoda,  Johann  W.","OVERTURE NO. 1, D MINOR, OP. 38"
"Beethoven,  Ludwig  van","SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA)"
"Bellini,  Vincenzo","I PURITANI"
"Romberg,  Bernhard","CELEBRATED ELEGIE"
"Rossini,  Gioachino","WILLIAM TELL"
"Rossini,  Gioachino","STABAT MATER"
"Hummel,  Johann","CONCERTO, PIANO, A-FLAT MAJOR, OP. 113"
"Weber,  Carl  Maria Von","FREISCHUTZ, DER"
"Beethoven,  Ludwig  van","EGMONT, OP.84"
"Hummel,  Johann","CONCERTO, PIANO, A MINOR, OP. 85"
"Pacini,  Giovanni","O HAPPY HAPPY HOUR"
"Romberg,  Bernhard","FANTASIA ON SWEEDISH AIRS"
"Onslow,  George","SEXTET IN E FLAT MAJOR, OP. 30"
"Thalberg,  Sigismond","FANTASIA AND VARIATIONS ON THEMES FROM NORMA, OP. 12 (FOUR HANDS)"
"Mozart,  Wolfgang  Amadeus","MAGIC FLUTE, THE, K.620"
"Herz,  Henri","INTRODUCTION AND VARIATIONS ON THE ROMANCE OF JOSEPH, OP. 20"
"Lindpaintner,  Peter  Von","QUINTET FOR WINDS AND ORCHESTRA"
"Beethoven,  Ludwig  van","SYMPHONY NO. 2 IN D MAJOR, OP.36"
"Haydn,  Franz  Joseph","SYMPATHY, HXXVIA:33 (VOICE AND ORCH) (ARR. Loder)"
"Mendelssohn,  Felix","MIDSUMMER NIGHT'S DREAM, OP. 61"
"Beethoven,  Ludwig  van","SEPTET, E-FLAT MAJOR, OP.20"
"Spohr,  Louis","E MI LASCI COSÌ? ... TU M'ABBANDONI, INGRATO, OP. 71"
"Weber,  Carl  Maria Von","JUBEL OVERTURE, OP. 59"
"Beethoven,  Ludwig  van","SYMPHONY NO. 7 IN A MAJOR, OP.92"
